"","Date","GDP.Price.Index","Inflation.rate","SPF.t.t.1.","SPF.t.t.2.","Greenbook.t.t.1.","Greenbook.t.t.2.","X3.month.T.bill.rate","X5.year.Treasury.yield","unempl..Rate","S.P500.index"
"66",1984,55.827,3.30142676539644,4.558,5.2033,4.1,4.6,9.87,13.48,7.2,153.18
"67",1984,56.174,2.4862521718882,4.8687,4.9204,4.6,4.3,10.37,12.53,7.3,166.1
"68",1984,56.839,4.73528678748174,4.4733,5.3195,4.5,4.7,8.06,11.07,7.3,167.24
"69",1985,57.161,2.26604971938285,4.2024,4.6902,4.6,4.9,8.52,11.52,7.2,180.66
"70",1985,57.528,2.56818460138906,3.4984,4.4552,3.6,3.9,6.95,9.6,7.4,191.85
"71",1985,57.837,2.14851898206092,3.7547,4.117,2.7,3.2,7.1,9.81,7.1,182.08
"72",1985,58.118,1.94339263793069,3.8092,4.3128,3.2,3.1,7.1,8.73,7,211.28
"73",1986,58.334,1.48663064799202,3.6938,4.0335,3.5,3.6,6.56,7.46,7.2,238.9
"74",1986,58.606,1.8651215414681,3.0106,3.5876,3.4,3.7,6.21,7.64,7.2,250.84
"75",1986,58.96,2.41613486673717,2.5112,4.0611,2.2,3,5.21,6.92,7,231.32
"76",1986,59.306,2.34735413839893,2.4208,3.3971,2.2,2.8,5.53,6.67,6.6,242.17
"77",1987,59.694,2.61693589181533,3.0165,2.5829,2.9,2.9,5.59,6.79,6.6,291.7
"78",1987,60.135,2.95507086139306,3.2965,2.7017,3,3,5.67,8.02,6.2,304
"79",1987,60.605,3.12629916022287,4.0477,4.0833,3.2,3,6.4,8.94,5.9,321.83
"80",1987,61.075,3.10205428595003,4.9424,3.8142,2.8,2.6,5.77,8.45,5.7,247.08
"81",1988,61.681,3.9688907081457,3.2823,4.317,4,3.8,5.7,7.83,5.7,258.89
"82",1988,62.426,4.83130947941834,3.5549,3.9777,3.5,3.8,6.46,8.49,5.4,273.5
"83",1988,62.961,3.42805882164479,3.6644,3.7126,4.1,3.5,7.24,8.69,5.4,271.91
"84",1988,63.602,4.07236225599972,4.1079,4.1766,4.2,4,8.07,9.09,5.3,277.72
"85",1989,64.271,4.20741486116789,4.4471,4.215,3.9,4,8.82,9.51,5,294.87
"86",1989,64.744,2.94378491076843,4.6496,4.5965,4.4,3.8,8.15,8.29,5.3,317.98
"87",1989,65.174,2.65661682935878,4.5731,4.5385,4.1,3.7,7.75,8.17,5.3,349.15
"88",1989,65.901,4.46190198545429,3.8259,4.1989,3.7,3.9,7.63,7.75,5.4,353.4
"89",1990,66.58,4.12133351542465,3.9569,4.5603,4.2,4.6,7.9,8.6,5.2,339.94
"90",1990,67.18,3.60468609191953,3.9342,4.0032,3.6,4.1,7.73,8.43,5.2,358.02
"91",1990,67.702,3.10806787734439,4.137,4.0415,3.8,4.2,7.36,8.51,5.9,306.05
"92",1990,68.373,3.96443236536594,4.2762,4.1293,3.4,4.1,6.74,7.73,6.3,330.22
"93",1991,68.832,2.68527050151368,4.6474,4.3497,5.6,4.9,5.91,7.77,6.8,375.22
"94",1991,69.328,2.88238028823811,3.6932,4.0139,3.8,4.6,5.57,7.94,6.9,371.16
"95",1991,69.694,2.1117009000692,3.3744,3.4176,3.3,3.7,5.22,7.14,6.9,387.86
"96",1991,70.014,1.83659999426062,3.2829,3.3391,3.3,3.2,4.07,6.19,7.3,417.09
"97",1992,70.457,2.53092238695114,3.1783,3.2651,3.7,3.8,4.04,6.95,7.4,403.69
"98",1992,70.785,1.86212867422686,2.8517,2.9795,2.9,2.9,3.66,6.48,7.8,408.14
"99",1992,71.275,2.76894822349369,3.022,3.0367,2.8,2.5,2.91,5.38,7.6,417.8
"100",1992,71.704,2.40757628902131,2.7205,3.1564,2.9,2.7,3.22,6.08,7.4,435.71
"101",1993,72.136,2.40990739707687,2.8228,2.9311,2.8,2.9,2.95,5.19,7,451.67
"102",1993,72.504,2.04058999667298,2.6743,2.8441,2.2,2.2,3.07,5.22,7,450.53
"103",1993,72.913,2.25642723160098,2.8397,2.8119,2.2,2.2,2.95,4.73,6.7,458.93
"104",1993,73.291,2.07370427770082,3.0035,2.9583,3,2.4,3.06,5.15,6.5,466.45
"105",1994,73.652,1.9702282681366,2.8873,3.0066,2.6,2.5,3.5,5.94,6.5,445.77
"106",1994,74.021,2.00401889969042,2.5707,2.9031,2.3,2.5,4.14,6.7,6.1,444.27
"107",1994,74.44,2.26422231528884,2.6735,2.6521,2.3,2.2,4.62,7.08,5.9,462.69
"108",1994,74.89,2.41805480924233,2.9408,2.8995,2.5,2.2,5.6,7.78,5.5,459.27
"109",1995,75.226,1.79463212711974,3.1288,3.1348,3.1,2.6,5.73,7.05,5.4,500.71
"110",1995,75.548,1.71217398239971,2.7059,3.0271,2.4,2.8,5.47,5.93,5.6,544.75
"111",1995,75.908,1.90607296023719,2.8854,2.9549,2.6,2.3,5.28,6,5.6,584.41
"112",1995,76.296,2.04458028139332,2.6021,2.8628,2.4,2.4,5.14,5.51,5.6,615.93
"113",1996,76.584,1.50990877634474,2.3559,2.722,2.5,2.4,4.96,5.97,5.5,645.5
"114",1996,76.932,1.81761203384516,2.2634,2.3838,2.4,2.2,5.09,6.69,5.3,670.63
"115",1996,77.257,1.68980398273799,2.4864,2.4733,3.2,2.6,5.09,6.6,5.2,687.31
"116",1996,77.637,1.96745925935513,2.5381,2.5058,3,2.9,4.91,6.07,5.4,740.74
"117",1997,77.998,1.85993791619978,2.518,2.7042,2.9,3,5.14,6.54,5.2,757.12
"118",1997,78.225,1.16413241365159,2.4752,2.615,2.7,2.4,4.93,6.38,5,885.14
"119",1997,78.493,1.37040588047297,2.3962,2.552,2.3,2.2,4.95,6.11,4.9,947.28
